read_id	rq	qv	read_length	iden
m21038_250922_054922/13897405/ccs	0.991411	20.6606	24264	99.21
m21038_251022_065109/217388227/ccs	0.994016	22.2301	21282	99.19
m21038_250922_054922/257952343/ccs	0.998437	28.0604	13345	99.84
m21038_251022_065109/179701790/ccs	0.992782	21.4158	14769	99.83
m21038_250922_054922/257426292/ccs	0.995853	23.8227	13445	99.86
m21038_250922_054922/194645729/ccs	0.997504	26.0276	19895	99.68
m21038_250922_054922/23925805/ccs	0.999995	53.0103	8533	99.92
m21038_250922_054922/18028184/ccs	0.999947	42.7572	4294	99.91
m21038_250922_054922/126554867/ccs	0.995648	23.6131	19525	99.67
m21038_251022_065109/221386235/ccs	0.999722	35.5596	27589	99.82
m21038_250922_054922/141760075/ccs	0.997214	25.5502	10647	99.08
m21038_250922_054922/54463959/ccs	0.998389	27.929	6715	99.91
m21038_251022_065109/197334435/ccs	0.999947	42.7572	16466	99.76
m21038_251022_065109/72155685/ccs	0.999859	38.5078	9938	99.57
m21038_251022_065109/259983691/ccs	0.997998	26.9854	27531	99.64
m21038_250922_054922/2100638/ccs	0.995779	23.7458	17527	99.61
m21038_250922_054922/148836072/ccs	0.999936	41.9382	6519	99.89
m21038_250922_054922/44766840/ccs	0.995031	23.0373	26985	99.60
m21038_251022_065109/248255063/ccs	0.997623	26.2397	5360	99.91
m21038_250922_054922/219420062/ccs	0.999854	38.3565	16482	99.41
m21038_250922_054922/237766818/ccs	0.999038	30.1682	23966	99.64
m21038_251022_065109/51317390/ccs	0.997669	26.3246	25201	99.63
m21038_250922_054922/95553373/ccs	0.999922	41.0791	11142	99.69
m21038_251022_065109/199626847/ccs	0.999953	43.279	9801	99.80
m21038_250922_054922/93000316/ccs	0.998636	28.6519	8116	99.89
m21038_250922_054922/49220133/ccs	0.999993	51.549	5555	99.48
m21038_251022_065109/47515137/ccs	0.999879	39.1721	7710	99.18
m21038_250922_054922/72679732/ccs	1	60	7243	99.63
m21038_250922_054922/123996319/ccs	0.999994	52.2185	8265	99.56
m21038_251022_065109/180426224/ccs	0.996782	24.9241	14798	99.32
m21038_250922_054922/200016202/ccs	0.998937	29.7347	8745	99.55
m21038_251022_065109/4132359/ccs	0.999991	50.4576	4505	99.93
m21038_250922_054922/266275042/ccs	0.999859	38.5078	8796	99.59
m21038_251022_065109/225314796/ccs	0.999691	35.1004	5788	99.90
m21038_251022_065109/178192590/ccs	1	60	3686	99.95
m21038_250922_054922/124977459/ccs	0.999635	34.3771	18731	99.78
m21038_251022_065109/112595979/ccs	1	60	3280	98.93
m21038_250922_054922/70583222/ccs	0.999943	42.4413	5551	98.86
m21038_250922_054922/105780950/ccs	0.999921	41.0237	3657	99.89
m21038_251022_065109/106498256/ccs	0.990438	20.1945	28570	99.77
m21038_251022_065109/179110440/ccs	1	60	4858	99.73
m21038_250922_054922/194252677/ccs	0.999434	32.4718	26044	99.80
m21038_250922_054922/15206158/ccs	0.999886	39.431	10031	99.63
m21038_250922_054922/140449492/ccs	0.999772	36.4207	12704	99.70
m21038_251022_065109/105579565/ccs	0.992778	21.4134	12613	99.62
m21038_250922_054922/162071732/ccs	0.999979	46.7778	6598	99.32
m21038_250922_054922/120260513/ccs	0.998812	29.2518	26649	99.81
m21038_250922_054922/85133161/ccs	0.99518	23.1695	11007	98.72
m21038_251022_065109/240519802/ccs	0.999096	30.4383	25158	99.91
m21038_251022_065109/17498532/ccs	0.999258	31.296	21950	99.90
m21038_250922_054922/131400892/ccs	0.999096	30.4383	20522	99.92
m21038_250922_054922/82644281/ccs	0.998698	28.8539	25929	99.72
m21038_251022_065109/5114802/ccs	0.998915	29.6457	26985	99.92
m21038_250922_054922/234227581/ccs	0.991979	20.9577	22455	99.74
m21038_251022_065109/182326090/ccs	0.999732	35.7187	17819	99.89
m21038_250922_054922/152507124/ccs	0.995868	23.8384	29612	99.91
m21038_251022_065109/169808425/ccs	0.998994	29.974	22767	99.76
m21038_250922_054922/79562881/ccs	0.999742	35.8838	21862	99.92
m21038_250922_054922/52300104/ccs	0.998862	29.4386	33427	99.93
m21038_250922_054922/198182216/ccs	0.997005	25.236	30926	99.90
m21038_250922_054922/54919841/ccs	0.998723	28.9381	28657	99.78
m21038_251022_065109/216730622/ccs	0.992086	21.016	23270	99.87
m21038_250922_054922/213191826/ccs	0.999745	35.9346	19497	99.90
m21038_251022_065109/100207477/ccs	0.994483	22.583	22878	99.83
m21038_251022_065109/55054598/ccs	0.999904	40.1773	18344	99.93
m21038_250922_054922/78120324/ccs	0.999613	34.1229	17929	99.93
m21038_251022_065109/72160257/ccs	0.999685	35.0169	24049	99.90
m21038_251022_065109/179375099/ccs	0.999867	38.7615	15856	99.93
m21038_251022_065109/70190364/ccs	0.999563	33.5952	17444	99.82
m21038_251022_065109/141430853/ccs	0.999704	35.2871	24192	99.93
m21038_251022_065109/173474808/ccs	0.996031	24.0132	36832	99.87
m21038_251022_065109/266995300/ccs	0.999941	42.2915	11539	99.91
m21038_251022_065109/135993003/ccs	0.999497	32.9843	28753	99.91
m21038_250922_054922/197857079/ccs	0.999543	33.4008	12064	99.80
m21038_251022_065109/79695144/ccs	0.999827	37.6195	10767	99.87
m21038_250922_054922/252708715/ccs	0.990926	20.422	14865	99.74
m21038_251022_065109/115087237/ccs	0.998416	28.0024	14860	99.89
m21038_250922_054922/25826165/ccs	0.999316	31.6494	23727	99.87
m21038_250922_054922/172164341/ccs	0.995253	23.2358	23953	99.77
m21038_250922_054922/188093363/ccs	0.999903	40.1323	11256	99.93
m21038_250922_054922/99682028/ccs	0.999906	40.2687	7935	99.92
m21038_250922_054922/178524857/ccs	0.999858	38.4771	18754	99.93
m21038_251022_065109/163384863/ccs	0.999989	49.5861	9607	99.94
m21038_250922_054922/24385073/ccs	0.999854	38.3565	15137	99.94
m21038_250922_054922/51910405/ccs	0.999466	32.7246	19357	99.92
m21038_250922_054922/19141968/ccs	0.999957	43.6653	11862	99.95
m21038_250922_054922/186648162/ccs	0.999794	36.8613	15509	99.94
m21038_250922_054922/105187697/ccs	0.999978	46.5758	9784	99.95
m21038_250922_054922/53153013/ccs	0.999964	44.437	11838	99.95
m21038_250922_054922/123605055/ccs	0.999921	41.0237	13882	99.94
m21038_250922_054922/203555408/ccs	0.999416	32.3359	14104	99.95
m21038_250922_054922/189598044/ccs	0.999427	32.4185	15704	99.96
m21038_251022_065109/79893632/ccs	0.9995	33.0103	19458	99.95
m21038_251022_065109/28314199/ccs	0.99871	28.8941	20168	99.92
m21038_251022_065109/155850569/ccs	0.999835	37.8252	12011	99.95
m21038_251022_065109/174065510/ccs	0.998845	29.3742	9510	99.97
m21038_250922_054922/187892077/ccs	0.999982	47.4473	6805	99.97
m21038_251022_065109/116720725/ccs	0.999998	56.9897	7750	99.97
m21038_250922_054922/36639928/ccs	0.999654	34.6092	4686	99.98
m21038_250922_054922/214438201/ccs	0.996206	24.209	19857	99.85
m21038_251022_065109/106762499/ccs	0.998997	29.987	25222	99.94
m21038_251022_065109/181405332/ccs	0.99974	35.8503	16955	99.91
m21038_251022_065109/41291604/ccs	0.99992	40.9691	4590	99.98
m21038_250922_054922/31265441/ccs	0.999937	42.0066	9989	99.97
m21038_250922_054922/97455968/ccs	0.995143	23.1363	32400	99.90
m21038_251022_065109/154143982/ccs	0.998538	28.3505	6008	99.97
m21038_250922_054922/38013445/ccs	0.999947	42.7572	12065	99.92
m21038_251022_065109/149491175/ccs	0.999991	50.4576	4942	99.98
m21038_251022_065109/21107743/ccs	0.998668	28.755	35218	99.94
m21038_251022_065109/146605136/ccs	0.999716	35.4668	11658	99.96
m21038_250922_054922/52106917/ccs	1	60	5936	99.97
m21038_251022_065109/116461152/ccs	0.999869	38.8273	5308	99.96
m21038_250922_054922/23269847/ccs	0.999812	37.2584	12143	99.93
m21038_250922_054922/64161510/ccs	0.999234	31.1577	23994	99.85
m21038_251022_065109/125242235/ccs	0.999834	37.7989	21971	99.95
m21038_251022_065109/137565929/ccs	0.999137	30.6399	28502	99.94
m21038_251022_065109/36639796/ccs	0.999895	39.7881	11650	99.93
m21038_251022_065109/117833961/ccs	0.99999	50	7562	99.93
m21038_251022_065109/205984606/ccs	0.999995	53.0103	2518	99.96
m21038_250922_054922/42078729/ccs	0.999993	51.549	6027	99.95
m21038_250922_054922/127930803/ccs	0.99998	46.9897	3431	99.97
m21038_250922_054922/11797641/ccs	0.997962	26.908	19583	99.93
m21038_251022_065109/249432546/ccs	0.999748	35.986	19987	99.95
m21038_250922_054922/237896978/ccs	1	60	4820	99.94
m21038_250922_054922/102826487/ccs	1	60	4518	99.93
m21038_251022_065109/204671204/ccs	0.999999	60	4806	99.94
m21038_251022_065109/240585335/ccs	0.999999	60	9244	99.95
