read_id	rq	qv	read_length	iden
m21038_250829_055510/227148806/ccs	0.995937	23.9115	14130	99.58
m21038_250829_055510/150343077/ccs	0.998249	27.5671	12017	99.59
m21038_250829_055510/227739237/ccs	0.996077	24.0638	13587	99.83
m21038_250926_075351/54530702/ccs	0.998892	29.5546	9849	99.61
m21038_250926_075351/67308356/ccs	0.999915	40.7058	4867	99.90
m21038_250829_055510/132122588/ccs	0.999977	46.3827	10147	99.92
m21038_250926_075351/206700689/ccs	0.99804	27.0774	9252	99.93
m21038_250829_055510/129240472/ccs	0.999269	31.3608	4977	99.94
m21038_250926_075351/129308478/ccs	0.999968	44.9485	8684	99.93
m21038_250829_055510/173540276/ccs	0.999992	50.9691	3631	100.00
m21038_250829_055510/39257267/ccs	0.999592	33.8934	6731	99.94
m21038_250829_055510/103352567/ccs	1	60	3611	99.94
m21038_250926_075351/56168511/ccs	0.999984	47.9588	6724	99.66
m21038_250829_055510/33294869/ccs	0.999998	56.9897	7421	99.92
m21038_250926_075351/133371714/ccs	0.999063	30.2826	24217	99.37
m21038_250829_055510/59703445/ccs	0.999937	42.0066	13439	99.72
m21038_250829_055510/161090979/ccs	0.999995	53.0103	4832	99.92
m21038_250829_055510/94965424/ccs	0.998728	28.9551	13866	99.86
m21038_250926_075351/182651330/ccs	0.999976	46.1979	6996	99.90
m21038_250829_055510/66193235/ccs	0.999996	53.9794	7092	99.92
m21038_250829_055510/142938312/ccs	0.999535	33.3255	23023	99.55
m21038_250926_075351/23529365/ccs	0.999987	48.8606	6344	99.54
m21038_250829_055510/230098938/ccs	0.999996	53.9794	4597	99.91
m21038_250926_075351/71107051/ccs	0.999977	46.3827	6379	98.63
m21038_250926_075351/231538740/ccs	0.99994	42.2185	10603	99.86
m21038_250926_075351/39522021/ccs	1	60	4614	99.91
m21038_250829_055510/68620866/ccs	1	60	5879	99.51
m21038_250829_055510/257228969/ccs	0.999999	60	8089	99.84
m21038_250829_055510/256707565/ccs	0.999888	39.5078	11218	99.69
m21038_250829_055510/43782092/ccs	0.999045	30.2	4212	98.81
m21038_250829_055510/202901476/ccs	0.998676	28.7811	32082	99.83
m21038_250829_055510/160498286/ccs	0.999908	40.3621	7402	99.74
m21038_250829_055510/192480401/ccs	0.999831	37.7211	17878	99.77
m21038_250829_055510/71568150/ccs	0.999941	42.2915	11055	99.67
m21038_250926_075351/265094428/ccs	0.996268	24.2806	17325	99.24
m21038_250829_055510/66130088/ccs	0.99977	36.3827	16455	99.40
m21038_250829_055510/246613183/ccs	0.999728	35.6543	12126	99.35
m21038_250829_055510/248973399/ccs	1	60	4508	98.22
m21038_250926_075351/47322306/ccs	0.999459	32.668	7766	99.57
m21038_250829_055510/69801842/ccs	0.999988	49.2082	9803	98.65
m21038_250926_075351/26478837/ccs	0.999372	32.0204	6031	98.66
m21038_250926_075351/209520989/ccs	0.99984	37.9588	7484	98.61
m21038_250829_055510/174260428/ccs	0.999991	50.4576	6770	98.71
m21038_250829_055510/46071944/ccs	0.999986	48.5387	7356	99.42
m21038_250829_055510/91293482/ccs	0.999818	37.3993	5724	98.83
m21038_250829_055510/12850991/ccs	1	60	4517	99.07
m21038_250829_055510/30411565/ccs	1	60	3342	99.85
m21038_250926_075351/138023509/ccs	1	60	4498	99.18
m21038_250829_055510/242812563/ccs	0.99993	41.549	4990	99.60
m21038_250829_055510/58786158/ccs	1	60	4547	99.19
m21038_250829_055510/158991094/ccs	0.999322	31.6877	25593	99.91
m21038_250829_055510/31853237/ccs	0.995452	23.4218	20920	99.85
m21038_250926_075351/21564004/ccs	0.997669	26.3246	16869	99.89
m21038_250829_055510/103552422/ccs	0.999568	33.6452	21782	99.92
m21038_250926_075351/243925193/ccs	0.997928	26.8361	24035	99.90
m21038_250829_055510/254872405/ccs	0.999846	38.1248	19655	99.92
m21038_250829_055510/161678706/ccs	0.999345	31.8376	15291	99.91
m21038_250829_055510/79890624/ccs	0.999996	53.9794	6435	99.88
m21038_250926_075351/113250527/ccs	0.999889	39.5468	18139	99.92
m21038_250829_055510/222757249/ccs	0.997481	25.9877	37812	99.89
m21038_250926_075351/31659122/ccs	0.99993	41.549	11041	99.89
m21038_250829_055510/56035500/ccs	0.995941	23.9158	29643	99.46
m21038_250829_055510/246941372/ccs	0.999891	39.6257	8005	99.86
m21038_250926_075351/49156315/ccs	0.999892	39.6658	16886	99.91
m21038_250926_075351/61801821/ccs	0.993393	21.8	25701	99.80
m21038_250926_075351/252641734/ccs	0.999608	34.0671	18225	99.95
m21038_250926_075351/8126747/ccs	0.99987	38.8606	17311	99.95
m21038_250926_075351/153616871/ccs	0.998965	29.8506	26763	99.94
