read_id	rq	qv	read_length	iden
m21038_250919_092912/98702437/ccs	0.992033	20.9871	35673	99.27
m21038_250919_092912/67047251/ccs	0.996614	24.7031	20783	99.74
m21038_250919_092912/19792857/ccs	0.999119	30.5502	11707	98.87
m21038_251021_063356/49549450/ccs	0.999788	36.7366	3240	99.94
m21038_251021_063356/88214697/ccs	0.99991	40.4576	9341	99.90
m21038_250919_092912/147456350/ccs	0.998247	27.5622	14387	99.80
m21038_251021_063356/102437174/ccs	0.993987	22.2091	3782	99.95
m21038_251021_063356/170593002/ccs	0.999898	39.914	8342	99.93
m21038_250919_092912/154206313/ccs	0.999989	49.5861	4696	99.00
m21038_251021_063356/123343547/ccs	0.999975	46.0206	12749	99.39
m21038_251021_063356/131536599/ccs	0.999924	41.1919	10729	99.93
m21038_250919_092912/93000397/ccs	0.999882	39.2812	6405	99.00
m21038_250919_092912/62330112/ccs	0.999419	32.3582	6354	99.02
m21038_250919_092912/69535565/ccs	0.999836	37.8516	18685	99.10
m21038_251021_063356/171381299/ccs	0.999759	36.1798	18521	99.10
m21038_251021_063356/51255082/ccs	0.999577	33.7366	12311	99.42
m21038_251021_063356/101061611/ccs	0.999901	40.0436	19053	99.69
m21038_250919_092912/23266589/ccs	0.999975	46.0206	11661	99.91
m21038_251021_063356/79168819/ccs	0.999978	46.5758	6727	99.94
m21038_251021_063356/12586546/ccs	0.999993	51.549	4193	99.93
m21038_250919_092912/184749121/ccs	0.999807	37.1444	11528	99.11
m21038_250919_092912/47385888/ccs	0.999277	31.4086	5271	99.11
m21038_251021_063356/195105494/ccs	0.999966	44.6852	3891	99.07
m21038_250919_092912/169937134/ccs	0.99107	20.4915	4525	99.82
m21038_250919_092912/165154043/ccs	0.999441	32.5259	8373	99.93
m21038_250919_092912/106104611/ccs	0.999998	56.9897	4940	99.05
m21038_250919_092912/146411483/ccs	0.997343	25.7561	7236	99.93
m21038_251021_063356/12719076/ccs	0.999994	52.2185	3242	99.94
m21038_250919_092912/127273685/ccs	0.995558	23.5242	12020	99.55
m21038_250919_092912/179112716/ccs	0.992649	21.3365	7032	99.93
m21038_250919_092912/27656552/ccs	0.999994	52.2185	6471	99.92
m21038_250919_092912/182522568/ccs	0.999706	35.3165	8326	99.92
m21038_250919_092912/115345018/ccs	0.992354	21.1657	14162	99.66
m21038_251021_063356/16253064/ccs	0.999972	45.5284	11004	99.85
m21038_251021_063356/187892099/ccs	1	60	4305	99.91
m21038_250919_092912/247529769/ccs	1	60	4860	99.92
m21038_250919_092912/104861757/ccs	0.999984	47.9588	10534	99.57
m21038_251021_063356/147523210/ccs	0.999545	33.4199	14710	99.72
m21038_251021_063356/176949587/ccs	1	60	3890	99.90
m21038_250919_092912/41619771/ccs	0.999829	37.67	5194	99.92
m21038_251021_063356/83690995/ccs	0.999986	48.5387	10399	99.83
m21038_250919_092912/9177247/ccs	0.999941	42.2915	14041	99.69
m21038_250919_092912/102761311/ccs	0.999538	33.3536	4522	99.91
m21038_250919_092912/91427014/ccs	0.999985	48.2391	3007	99.87
m21038_251021_063356/32050417/ccs	0.999798	36.9465	16310	99.74
m21038_250919_092912/77206625/ccs	0.999377	32.0551	9371	99.86
m21038_250919_092912/8719989/ccs	0.999993	51.549	7436	98.67
m21038_250919_092912/34931868/ccs	0.999982	47.4473	10148	99.54
m21038_250919_092912/13633000/ccs	0.999766	36.3078	8344	98.85
m21038_251021_063356/160172025/ccs	0.99746	25.9517	16267	99.63
m21038_251021_063356/212796695/ccs	0.999669	34.8017	13854	99.72
m21038_250919_092912/14550379/ccs	0.999325	31.707	13148	99.70
m21038_251021_063356/64094524/ccs	0.999927	41.3668	6977	99.90
m21038_250919_092912/222826390/ccs	0.999516	33.1515	5870	99.91
m21038_250919_092912/135400552/ccs	0.999911	40.5061	14288	99.71
m21038_251021_063356/26416064/ccs	0.998769	29.0974	6579	99.89
m21038_250919_092912/70522146/ccs	0.999552	33.4872	3982	99.90
m21038_250919_092912/146998305/ccs	0.999779	36.5561	6399	99.91
m21038_251021_063356/9967375/ccs	0.999999	60	7224	99.18
m21038_251021_063356/203296426/ccs	0.999886	39.431	9316	99.67
m21038_250919_092912/157417890/ccs	0.99992	40.9691	6050	99.12
m21038_251021_063356/158927795/ccs	1	60	4366	99.93
m21038_251021_063356/103681126/ccs	0.999567	33.6351	3598	98.77
m21038_251021_063356/240977251/ccs	0.999964	44.437	3790	98.83
m21038_251021_063356/60424531/ccs	1	60	3494	98.76
m21038_250919_092912/123013080/ccs	0.999987	48.8606	4018	99.06
m21038_250919_092912/229246765/ccs	0.99428	22.426	3434	99.24
m21038_251021_063356/141103940/ccs	0.999954	43.3724	4147	99.90
m21038_250919_092912/142413451/ccs	1	60	3595	99.94
m21038_250919_092912/71701246/ccs	0.999853	38.3268	5349	99.33
m21038_250919_092912/101059159/ccs	0.996991	25.2158	11896	99.65
m21038_251021_063356/42535420/ccs	1	60	4787	99.73
m21038_250919_092912/125109907/ccs	0.998466	28.1417	10007	99.65
m21038_250919_092912/219023642/ccs	0.996337	24.3616	3783	98.97
m21038_250919_092912/69211057/ccs	0.997641	26.2727	5412	98.48
m21038_250919_092912/199361520/ccs	0.999997	55.2288	4315	98.26
m21038_250919_092912/127406633/ccs	0.999529	33.2698	5342	99.01
m21038_250919_092912/102502352/ccs	0.999999	60	4039	99.18
