read_id	rq	qv	read_length	iden
m21038_250828_053717/175048040/ccs	0.994595	22.672	17264	98.26
m21038_250925_073544/78058136/ccs	0.996365	24.395	31668	99.58
m21038_250925_073544/225837494/ccs	0.995706	23.6714	10920	99.82
m21038_250925_073544/100862518/ccs	0.999977	46.3827	8875	99.93
m21038_250925_073544/43455405/ccs	0.999986	48.5387	9067	99.93
m21038_250828_053717/209453180/ccs	0.99943	32.4413	18003	99.07
m21038_250925_073544/198250066/ccs	0.999973	45.6864	11680	98.91
m21038_250925_073544/2951648/ccs	0.997352	25.7708	21288	99.10
m21038_250828_053717/83892103/ccs	0.999712	35.4061	23062	99.14
m21038_250925_073544/77337582/ccs	0.999981	47.2125	8538	99.93
m21038_250828_053717/161158405/ccs	0.999972	45.5284	4681	99.94
m21038_250925_073544/54201435/ccs	0.999976	46.1979	5313	99.94
m21038_250925_073544/267323288/ccs	0.999991	50.4576	11629	99.89
m21038_250925_073544/109186709/ccs	0.999723	35.5752	9398	99.93
m21038_250925_073544/10879462/ccs	0.999918	40.8619	16015	99.73
m21038_250925_073544/134088772/ccs	0.999982	47.4473	9252	99.90
m21038_250925_073544/66587303/ccs	0.999912	40.5552	6284	99.90
m21038_250925_073544/231277224/ccs	0.99777	26.517	42798	99.85
m21038_250925_073544/148505295/ccs	0.997756	26.4898	10083	99.84
m21038_250925_073544/69405093/ccs	0.999132	30.6148	16475	99.74
m21038_250828_053717/241960432/ccs	0.999868	38.7943	9228	99.88
m21038_250828_053717/100469609/ccs	1	60	7259	99.59
m21038_250828_053717/71369381/ccs	0.999953	43.279	5077	99.92
m21038_250828_053717/117181586/ccs	0.999972	45.5284	6099	99.93
m21038_250828_053717/141689569/ccs	0.999983	47.6955	8579	98.90
m21038_250925_073544/201263736/ccs	0.998441	28.0715	16659	99.75
m21038_250828_053717/72548730/ccs	0.999936	41.9382	5564	99.91
m21038_250828_053717/148703134/ccs	0.997133	25.4257	13528	99.76
m21038_250828_053717/42275458/ccs	1	60	5371	99.24
m21038_250925_073544/96274193/ccs	1	60	4566	99.56
m21038_250828_053717/66260874/ccs	0.999307	31.5927	3771	99.65
m21038_250828_053717/151259500/ccs	0.999975	46.0206	10707	99.83
m21038_250828_053717/105450266/ccs	0.999974	45.8503	9226	99.54
m21038_250828_053717/161485978/ccs	0.99971	35.376	9177	98.85
m21038_250828_053717/101323967/ccs	0.998915	29.6457	5015	99.10
m21038_250925_073544/201720384/ccs	0.998813	29.2555	4136	99.88
