read_id	rq	qv	read_length	iden
m21038_251008_082655/186717893/ccs	0.998725	28.9449	26912	99.22
m21038_251008_082655/129829417/ccs	0.998807	29.2336	6692	98.95
m21038_251008_082655/10617762/ccs	0.997791	26.558	6904	99.85
m21038_251008_082655/209718393/ccs	0.995159	23.1506	10999	98.85
m21038_250909_022033/231343710/ccs	0.999974	45.8503	5641	98.94
m21038_251008_082655/48633011/ccs	0.999859	38.5078	13782	99.80
m21038_251008_082655/118886100/ccs	0.999997	55.2288	8387	99.93
m21038_251008_082655/52300292/ccs	0.995651	23.6161	22668	99.12
m21038_250909_022033/58852627/ccs	0.999766	36.3078	11814	99.92
m21038_251008_082655/263130756/ccs	0.99562	23.5853	12472	98.23
m21038_250909_022033/74256324/ccs	0.999994	52.2185	5530	99.93
m21038_251008_082655/24774015/ccs	1	60	5295	99.11
m21038_250909_022033/175312121/ccs	1	60	3248	99.35
m21038_251008_082655/84805683/ccs	0.999996	53.9794	9742	99.94
m21038_251008_082655/125044376/ccs	0.999905	40.2228	4979	99.11
m21038_251008_082655/96867325/ccs	0.999974	45.8503	8182	99.93
m21038_250909_022033/48697166/ccs	1	60	4910	99.06
m21038_251008_082655/219682606/ccs	0.999814	37.3049	5043	99.92
m21038_250909_022033/98111301/ccs	0.999855	38.3863	4802	99.92
m21038_250909_022033/160893951/ccs	0.999227	31.1182	11284	99.15
m21038_250909_022033/4131886/ccs	0.998796	29.1937	8988	98.45
m21038_250909_022033/184226163/ccs	0.996526	24.5917	10651	99.57
m21038_251008_082655/116065906/ccs	0.999913	40.6048	8663	99.92
m21038_250909_022033/149622705/ccs	0.999413	32.3136	15972	99.74
m21038_251008_082655/199229833/ccs	0.999991	50.4576	10397	99.13
m21038_250909_022033/8131286/ccs	0.999998	56.9897	5202	99.92
m21038_250909_022033/150211024/ccs	0.999999	60	6007	99.65
m21038_250909_022033/231014597/ccs	0.999205	30.9963	12557	99.52
m21038_251008_082655/228529050/ccs	0.993788	22.0677	9529	99.09
m21038_250909_022033/36569977/ccs	0.9983	27.6955	8260	99.02
m21038_251008_082655/212929740/ccs	0.998795	29.1901	14570	99.73
m21038_251008_082655/24450682/ccs	0.998245	27.5572	9028	99.79
m21038_251008_082655/101060427/ccs	1	60	5008	99.62
m21038_251008_082655/26940917/ccs	0.999496	32.9757	8137	99.16
m21038_251008_082655/29823979/ccs	0.999984	47.9588	8046	99.83
m21038_250909_022033/192681692/ccs	0.999944	42.5181	5432	99.06
m21038_251008_082655/172558211/ccs	0.999962	44.2022	7057	99.23
m21038_250909_022033/249696917/ccs	0.999991	50.4576	4571	99.25
m21038_251008_082655/217055416/ccs	0.998234	27.5301	12684	99.68
m21038_251008_082655/169087773/ccs	0.999985	48.2391	4470	99.10
m21038_251008_082655/22612134/ccs	0.997622	26.2379	3881	99.92
m21038_251008_082655/106303680/ccs	0.999899	39.9568	13318	99.70
m21038_250909_022033/43976033/ccs	0.997109	25.3895	10812	99.66
m21038_250909_022033/52893307/ccs	1	60	4109	99.27
m21038_251008_082655/37751687/ccs	0.994355	22.4834	21232	99.30
m21038_250909_022033/116462693/ccs	0.999976	46.1979	13478	99.71
m21038_251008_082655/96403594/ccs	0.997447	25.9295	4224	98.91
m21038_251008_082655/176425012/ccs	1	60	4912	99.37
m21038_250909_022033/94833538/ccs	1	60	3766	99.87
m21038_250909_022033/128714452/ccs	1	60	3766	99.47
m21038_250909_022033/66982627/ccs	0.999989	49.5861	3697	99.86
m21038_250909_022033/31785430/ccs	0.99991	40.4576	9328	99.61
m21038_251008_082655/154927741/ccs	0.999999	60	4297	98.32
m21038_250909_022033/64948686/ccs	0.996942	25.1456	5533	99.28
m21038_251008_082655/41421106/ccs	0.998053	27.1063	8105	98.65
m21038_251008_082655/121900647/ccs	0.999558	33.5458	4738	98.54
m21038_250909_022033/223875804/ccs	1	60	4179	98.40
m21038_251008_082655/127669853/ccs	0.999562	33.5853	5836	98.92
m21038_251008_082655/101847191/ccs	0.999633	34.3533	25041	99.84
m21038_251008_082655/234098253/ccs	0.999987	48.8606	6072	99.11
m21038_250909_022033/267127900/ccs	0.99999	50	4952	99.05
m21038_251008_082655/6555567/ccs	0.997191	25.5145	7276	99.81
m21038_251008_082655/202572011/ccs	0.995341	23.3171	23009	99.88
m21038_250909_022033/25235569/ccs	0.999214	31.0458	17225	99.92
m21038_251008_082655/213848149/ccs	0.999846	38.1248	20925	99.92
m21038_250909_022033/104600407/ccs	0.998309	27.7186	31901	99.77
m21038_251008_082655/231410283/ccs	0.999826	37.5945	20592	99.92
m21038_250909_022033/53412793/ccs	0.997826	26.6274	16657	99.90
m21038_251008_082655/191430782/ccs	0.999705	35.3018	24273	99.79
