read_id	rq	qv	read_length	iden
m84010_220919_232145_s1/240521001/ccs	0.991064	20.4886	17136	99.42
m84010_220919_232145_s1/52038283/ccs	0.993724	22.0232	21207	99.47
m84010_220919_232145_s1/142672368/ccs	0.998189	27.4208	12610	99.27
m84010_220919_232145_s1/37032303/ccs	0.995509	23.4766	17764	99.44
m84010_220919_232145_s1/207885565/ccs	0.994675	22.7368	20549	99.21
m84010_220919_232145_s1/102895056/ccs	0.995824	23.7924	22080	99.18
m84010_220919_232145_s1/127472568/ccs	0.993676	21.9901	15365	99.29
m84010_220919_232145_s1/41815697/ccs	0.995417	23.3885	15819	99.31
m84010_220919_232145_s1/248451801/ccs	0.994871	22.8997	15765	99.32
m84010_220919_232145_s1/203754033/ccs	0.991748	20.8344	25356	99.58
m84010_220919_232145_s1/133697873/ccs	0.996484	24.5395	20400	99.83
m84010_220919_232145_s1/190055113/ccs	0.996145	24.1398	12005	99.90
m84010_220919_232145_s1/169018543/ccs	0.996771	24.9093	16363	99.50
m84010_220919_232145_s1/195037789/ccs	0.999888	39.5078	7896	99.62
m84010_220919_232145_s1/120851924/ccs	0.998297	27.6879	12966	99.88
m84010_220919_232145_s1/72944995/ccs	0.999696	35.1713	18886	98.91
m84010_220919_232145_s1/61737795/ccs	0.999935	41.8709	5134	98.95
m84010_220919_232145_s1/247204426/ccs	0.993094	21.6077	14675	99.24
m84010_220919_232145_s1/239079456/ccs	0.999954	43.3724	12258	99.34
m84010_220919_232145_s1/235083477/ccs	0.998165	27.3636	26812	99.66
m84010_220919_232145_s1/164432486/ccs	0.999929	41.4874	7918	98.68
m84010_220919_232145_s1/231412481/ccs	0.999921	41.0237	16880	99.58
m84010_220919_232145_s1/18486846/ccs	0.999556	33.5262	18646	99.61
m84010_220919_232145_s1/233966046/ccs	0.996541	24.6105	16591	99.56
m84010_220919_232145_s1/85722306/ccs	0.99907	30.3152	27204	99.70
m84010_220919_232145_s1/100733680/ccs	0.999763	36.2525	19049	99.62
m84010_220919_232145_s1/24251327/ccs	0.999697	35.1856	12140	99.53
