read_id	rq	qv	read_length	iden
m84010_220919_235306_s2/222759330/ccs	0.996012	23.9924	22613	99.20
m84010_220919_235306_s2/47519568/ccs	0.990311	20.1372	19921	99.40
m84010_220919_235306_s2/164036974/ccs	0.996482	24.537	18141	99.19
m84010_220919_235306_s2/227608871/ccs	0.990138	20.0604	18806	99.45
m84010_220919_235306_s2/247466515/ccs	0.990134	20.0586	19391	99.41
m84010_220919_235306_s2/123343807/ccs	0.99679	24.9349	18080	98.39
m84010_220919_235306_s2/44108761/ccs	0.995051	23.0548	16637	99.35
m84010_220919_235306_s2/154863945/ccs	0.999726	35.6225	14552	99.66
m84010_220919_235306_s2/87035512/ccs	0.998604	28.5511	15643	99.73
m84010_220919_235306_s2/185799895/ccs	0.999919	40.9151	8437	99.56
m84010_220919_235306_s2/249630589/ccs	0.993766	22.0523	14478	99.65
m84010_220919_235306_s2/189399695/ccs	0.999726	35.6225	16523	99.74
m84010_220919_235306_s2/90770846/ccs	0.999902	40.0877	16774	99.74
m84010_220919_235306_s2/15274945/ccs	0.9996	33.9794	14557	99.81
m84010_220919_235306_s2/14617322/ccs	0.996645	24.7431	11195	99.46
m84010_220919_235306_s2/204605580/ccs	0.993082	21.6002	10302	99.49
m84010_220919_235306_s2/254610322/ccs	0.998796	29.1937	14828	99.72
m84010_220919_235306_s2/64159810/ccs	0.999946	42.6761	14513	99.49
m84010_220919_235306_s2/107874905/ccs	0.998663	28.7387	17329	99.73
m84010_220919_235306_s2/184028290/ccs	0.99996	43.9794	10252	99.26
m84010_220919_235306_s2/12849057/ccs	0.999125	30.5799	14762	99.42
m84010_220919_235306_s2/228918303/ccs	0.999732	35.7187	9655	98.91
m84010_220919_235306_s2/11274324/ccs	0.99955	33.4679	8253	99.31
m84010_220919_235306_s2/104400680/ccs	0.997553	26.1137	14088	99.87
m84010_220919_235306_s2/197853868/ccs	0.99418	22.3508	20318	99.77
m84010_220919_235306_s2/185207393/ccs	0.99961	34.0894	18695	99.91
m84010_220919_235306_s2/230299411/ccs	0.995989	23.9675	29680	99.90
m84010_220919_235306_s2/126157030/ccs	0.99973	35.6864	21782	99.91
m84010_220919_235306_s2/86904730/ccs	0.999549	33.4582	16757	99.92
m84010_220919_235306_s2/212469962/ccs	0.99977	36.3827	15538	99.92
m84010_220919_235306_s2/46926998/ccs	0.998822	29.2885	19261	99.90
m84010_220919_235306_s2/161744657/ccs	0.997879	26.7346	3307	99.76
m84010_220919_235306_s2/178460258/ccs	0.999742	35.8838	20088	99.91
m84010_220919_235306_s2/28248802/ccs	0.99947	32.7572	22336	99.91
m84010_220919_235306_s2/243598452/ccs	0.999362	31.9518	20236	99.92
m84010_220919_235306_s2/48103898/ccs	0.996982	25.2028	8199	99.96
m84010_220919_235306_s2/162532952/ccs	0.999345	31.8376	20874	99.94
m84010_220919_235306_s2/137496758/ccs	0.999752	36.0555	18153	99.94
