read_id	rq	qv	read_length	iden
m21038_250918_083927/199035227/ccs	0.996746	24.8758	32763	99.24
m21038_251020_022241/233701454/ccs	0.990005	20.0022	29834	99.18
m21038_251020_022241/120263346/ccs	0.995674	23.6391	19475	99.72
m21038_251020_022241/200475508/ccs	0.991795	20.8592	11557	98.86
m21038_251020_022241/156899218/ccs	0.999684	35.0031	10152	98.87
m21038_250918_083927/159191979/ccs	0.999975	46.0206	5799	99.07
m21038_251020_022241/132190855/ccs	0.999938	42.0761	7697	99.94
m21038_250918_083927/161223862/ccs	0.999938	42.0761	7982	99.94
m21038_250918_083927/160634586/ccs	0.999987	48.8606	7029	99.93
m21038_251020_022241/250089195/ccs	0.999979	46.7778	11826	98.93
m21038_250918_083927/79431463/ccs	0.999818	37.3993	14531	99.50
m21038_250918_083927/66781299/ccs	1	60	4775	99.90
m21038_251020_022241/21303382/ccs	0.999992	50.9691	6415	98.65
m21038_250918_083927/110236097/ccs	0.999562	33.5853	6981	98.67
m21038_251020_022241/50267073/ccs	0.990869	20.3948	8566	99.71
m21038_250918_083927/261030459/ccs	0.999969	45.0864	8195	99.89
m21038_250918_083927/30872247/ccs	0.999919	40.9151	15027	99.73
m21038_250918_083927/135533990/ccs	0.999806	37.122	8479	99.27
m21038_250918_083927/265422517/ccs	0.999981	47.2125	5650	99.93
m21038_250918_083927/48174933/ccs	0.998774	29.1151	7319	98.89
m21038_250918_083927/233376198/ccs	0.99725	25.6067	3519	99.00
m21038_250918_083927/180686330/ccs	0.999527	33.2514	14211	99.73
m21038_250918_083927/25823986/ccs	0.996634	24.7289	10151	99.54
m21038_250918_083927/136252651/ccs	0.99994	42.2185	13736	99.72
m21038_251020_022241/9506321/ccs	0.99933	31.7393	11011	99.66
m21038_251020_022241/92930199/ccs	0.999692	35.1145	20724	98.86
m21038_250918_083927/137233844/ccs	1	60	3545	99.38
m21038_250918_083927/116002813/ccs	0.999979	46.7778	4943	99.41
m21038_250918_083927/187372846/ccs	0.999963	44.318	5831	99.38
m21038_251020_022241/255526927/ccs	0.99829	27.67	27272	99.82
m21038_251020_022241/266212007/ccs	0.999759	36.1798	13979	98.97
m21038_250918_083927/216204391/ccs	0.999973	45.6864	9540	98.88
m21038_250918_083927/173478993/ccs	0.999906	40.2687	5236	99.25
m21038_250918_083927/101518156/ccs	1	60	5779	99.08
m21038_250918_083927/182388993/ccs	0.999998	56.9897	6464	99.81
m21038_250918_083927/104929178/ccs	0.999773	36.4397	16039	99.81
m21038_250918_083927/102762610/ccs	0.999812	37.2584	3430	99.39
m21038_250918_083927/172622968/ccs	0.999744	35.9176	23947	99.83
m21038_251020_022241/28382055/ccs	0.998768	29.0939	26326	99.90
m21038_250918_083927/174721574/ccs	0.997544	26.0977	23763	99.89
m21038_251020_022241/132715891/ccs	0.99894	29.7469	31054	99.91
m21038_250918_083927/78710498/ccs	0.998782	29.1435	26292	99.72
m21038_250918_083927/114496705/ccs	0.998497	28.2304	21647	99.92
m21038_250918_083927/12387142/ccs	0.995866	23.8363	24320	99.66
m21038_251020_022241/181208428/ccs	0.998073	27.1512	32142	99.75
m21038_251020_022241/67112226/ccs	0.999968	44.9485	9075	99.94
m21038_250918_083927/258081376/ccs	0.993799	22.0754	27694	99.35
m21038_251020_022241/242619515/ccs	0.999563	33.5952	24388	99.77
m21038_251020_022241/128128258/ccs	0.999314	31.6368	21503	99.76
m21038_250918_083927/172167509/ccs	0.999882	39.2812	17409	99.90
m21038_251020_022241/257624615/ccs	0.99771	26.4016	22358	99.76
m21038_251020_022241/137560855/ccs	0.999381	32.0831	22548	99.77
m21038_251020_022241/130748304/ccs	0.998571	28.4497	28818	99.91
m21038_250918_083927/36111214/ccs	0.998294	27.6802	16799	99.87
