read_id	rq	qv	read_length	iden
m21038_251024_072723/101056832/ccs	0.993395	21.8013	24151	99.83
m21038_251024_072723/5705609/ccs	0.998243	27.5523	4159	99.88
m21038_251024_072723/3344070/ccs	0.998898	29.5782	24907	99.94
m21038_250911_051612/233308711/ccs	0.999981	47.2125	2883	99.93
m21038_251024_072723/84610072/ccs	0.999616	34.1567	9471	99.94
m21038_251024_072723/51774826/ccs	0.999837	37.8781	19404	99.83
m21038_250911_051612/21104364/ccs	0.999757	36.1439	23638	99.94
m21038_250911_051612/4722454/ccs	0.99996	43.9794	8896	99.85
m21038_251024_072723/234620894/ccs	0.999998	56.9897	8447	99.93
m21038_250911_051612/6624434/ccs	0.998995	29.9783	7877	99.86
m21038_250911_051612/128582997/ccs	0.999999	60	4430	99.82
m21038_251024_072723/244714152/ccs	0.999971	45.376	3890	99.85
m21038_250911_051612/144970474/ccs	0.99993	41.549	7146	99.93
m21038_251024_072723/59445279/ccs	0.999987	48.8606	5535	99.86
m21038_251024_072723/100730528/ccs	0.99971	35.376	8338	99.94
m21038_250911_051612/211814541/ccs	1	60	3601	99.83
m21038_251024_072723/244582400/ccs	0.99011	20.048	27135	99.82
m21038_250911_051612/201786083/ccs	0.999833	37.7728	8067	99.94
m21038_250911_051612/127664975/ccs	0.999822	37.4958	4638	99.96
m21038_251024_072723/33362027/ccs	0.999987	48.8606	6349	99.94
m21038_250911_051612/131273874/ccs	0.999745	35.9346	3786	99.95
m21038_251024_072723/239468739/ccs	0.999863	38.6328	19248	99.83
m21038_251024_072723/52429513/ccs	0.999953	43.279	6722	99.84
m21038_251024_072723/64885830/ccs	0.999949	42.9243	3556	99.86
m21038_251024_072723/112135907/ccs	0.999836	37.8516	8919	99.83
m21038_251024_072723/201655729/ccs	0.998629	28.6296	8097	99.79
m21038_250911_051612/129829626/ccs	0.995045	23.0496	30905	99.77
m21038_251024_072723/80154044/ccs	0.999587	33.8405	3752	99.95
m21038_250911_051612/35718011/ccs	0.999902	40.0877	13454	99.94
m21038_250911_051612/214237630/ccs	0.999262	31.3194	22237	99.80
m21038_250911_051612/66650576/ccs	0.999973	45.6864	13593	99.82
m21038_250911_051612/171573919/ccs	0.999997	55.2288	5050	99.76
m21038_251024_072723/216140642/ccs	0.999985	48.2391	10376	99.95
m21038_250911_051612/157614742/ccs	0.999782	36.6154	6084	99.98
m21038_251024_072723/147982640/ccs	0.999634	34.3652	18421	99.95
m21038_250911_051612/147196180/ccs	0.991291	20.6003	26083	99.80
m21038_250911_051612/81596743/ccs	0.999988	49.2082	7589	99.84
m21038_250911_051612/83626034/ccs	0.999397	32.1968	14425	99.94
m21038_251024_072723/221579449/ccs	0.999873	38.962	11708	99.95
m21038_251024_072723/49547736/ccs	0.99853	28.3268	32997	99.91
m21038_250911_051612/159452679/ccs	0.99723	25.5752	20988	99.94
m21038_250911_051612/115017207/ccs	0.999593	33.9041	21656	99.95
m21038_251024_072723/21301025/ccs	0.999002	30.0087	28561	99.93
m21038_251024_072723/58594850/ccs	0.999679	34.9349	19770	99.83
m21038_250911_051612/39455486/ccs	1	60	3150	99.90
m21038_251024_072723/7869666/ccs	0.993496	21.8682	21580	99.92
m21038_250911_051612/86049692/ccs	1	60	2878	99.97
m21038_251024_072723/150340609/ccs	0.999899	39.9568	18057	99.94
m21038_250911_051612/77464581/ccs	0.999993	51.549	5799	99.93
m21038_250911_051612/80089881/ccs	0.997485	25.9946	3446	99.68
m21038_250911_051612/124063421/ccs	0.997748	26.4743	19985	99.92
m21038_250911_051612/180093011/ccs	0.999508	33.0803	13536	99.94
m21038_251024_072723/121244562/ccs	0.999071	30.3198	11231	99.79
m21038_250911_051612/117637271/ccs	0.999801	37.0115	5045	99.90
m21038_251024_072723/172426004/ccs	0.999798	36.9465	3654	99.81
m21038_250911_051612/73859760/ccs	0.999997	55.2288	4639	99.89
