read_id	rq	qv	read_length	iden
m21038_250901_041858/115343778/ccs	0.994421	22.5344	29290	99.21
m21038_251006_065125/90702788/ccs	0.992631	21.3259	15766	99.24
m21038_251006_065125/68227920/ccs	0.999965	44.5593	7277	99.86
m21038_251006_065125/67832144/ccs	0.9999	40	3931	99.90
m21038_251006_065125/208732483/ccs	0.996606	24.6929	14237	99.77
m21038_251006_065125/88212072/ccs	0.992613	21.3153	21595	99.78
m21038_251006_065125/18809505/ccs	0.999997	55.2288	5945	99.00
m21038_250901_041858/127468994/ccs	0.999986	48.5387	5501	99.91
m21038_250901_041858/156632501/ccs	0.999313	31.6304	26834	99.22
m21038_250901_041858/140707836/ccs	0.999238	31.1805	21311	99.14
m21038_251006_065125/107086487/ccs	0.998102	27.217	22140	99.15
m21038_250901_041858/102631348/ccs	0.999407	32.2695	11069	98.26
m21038_250901_041858/162923361/ccs	0.999426	32.4109	7113	99.94
m21038_251006_065125/131270755/ccs	0.999891	39.6257	14584	99.49
m21038_250901_041858/13374217/ccs	0.999998	56.9897	5834	99.93
m21038_250901_041858/157551430/ccs	0.999964	44.437	4648	99.91
m21038_250901_041858/120457035/ccs	0.999963	44.318	11444	99.76
m21038_250901_041858/97847006/ccs	0.99988	39.2082	4152	99.93
m21038_250901_041858/246220072/ccs	0.999978	46.5758	5110	99.92
m21038_251006_065125/153290907/ccs	0.999973	45.6864	10942	99.61
m21038_250901_041858/266142396/ccs	0.992337	21.156	14536	99.70
m21038_250901_041858/79757907/ccs	0.999447	32.5727	15309	99.74
m21038_250901_041858/91883398/ccs	0.998465	28.1389	7740	99.92
m21038_251006_065125/42729883/ccs	0.999279	31.4206	7692	99.92
m21038_250901_041858/20908966/ccs	0.999859	38.5078	7402	98.64
m21038_251006_065125/43390622/ccs	0.999984	47.9588	7248	99.92
m21038_250901_041858/227934890/ccs	0.999811	37.2354	13976	99.53
m21038_251006_065125/97062967/ccs	0.997962	26.908	11525	99.69
m21038_250901_041858/221644236/ccs	0.999842	38.0134	7165	98.97
m21038_250901_041858/52105995/ccs	0.999997	55.2288	8376	99.57
m21038_251006_065125/54989812/ccs	0.996529	24.5955	8100	99.58
m21038_251006_065125/9897177/ccs	0.996109	24.0994	26199	99.31
m21038_251006_065125/140445846/ccs	0.995742	23.7079	13484	99.71
m21038_250901_041858/193988350/ccs	0.99995	43.0103	8625	99.58
m21038_251006_065125/55972306/ccs	0.999466	32.7246	6401	98.85
m21038_250901_041858/101714870/ccs	1	60	5198	99.02
m21038_251006_065125/267191958/ccs	0.999963	44.318	11300	99.55
m21038_250901_041858/15729984/ccs	0.999767	36.3264	11103	99.56
m21038_251006_065125/214827754/ccs	0.999894	39.7469	12815	99.71
m21038_251006_065125/117899473/ccs	1	60	5399	98.81
m21038_250901_041858/9639044/ccs	0.999945	42.5964	3913	99.95
m21038_250901_041858/65079926/ccs	0.999975	46.0206	7134	99.80
m21038_250901_041858/40960871/ccs	0.996599	24.6839	28044	99.80
m21038_250901_041858/218104730/ccs	0.999984	47.9588	11038	99.67
m21038_251006_065125/170789603/ccs	0.999843	38.041	17946	99.75
m21038_250901_041858/19859557/ccs	0.999937	42.0066	12189	99.70
m21038_251006_065125/118621518/ccs	0.999496	32.9757	10248	99.65
m21038_250901_041858/51184652/ccs	0.999761	36.216	13754	99.72
m21038_250901_041858/3344406/ccs	0.998822	29.2885	6104	98.64
m21038_250901_041858/46662510/ccs	0.999418	32.3508	7209	98.64
m21038_250901_041858/243862088/ccs	0.999956	43.5655	7224	98.89
m21038_250901_041858/184550653/ccs	0.999994	52.2185	5019	99.30
m21038_250901_041858/36440401/ccs	0.999982	47.4473	4416	99.25
m21038_250901_041858/185338790/ccs	0.995496	23.464	22852	99.88
m21038_251006_065125/181470214/ccs	0.999681	34.9621	24208	99.92
m21038_250901_041858/162530559/ccs	0.999142	30.6651	22099	99.90
m21038_251006_065125/43254966/ccs	0.999641	34.4491	21512	99.92
m21038_250901_041858/225378926/ccs	0.999515	33.1426	28527	99.91
m21038_251006_065125/9766988/ccs	0.999705	35.3018	8779	99.91
m21038_251006_065125/47519185/ccs	0.992942	21.5132	22164	99.76
m21038_251006_065125/175180528/ccs	0.999681	34.9621	21606	99.75
m21038_251006_065125/249431832/ccs	0.995621	23.5863	16296	99.69
m21038_251006_065125/34472681/ccs	0.994319	22.4558	20278	99.83
m21038_250901_041858/17565013/ccs	0.999644	34.4855	21795	99.79
m21038_251006_065125/64689313/ccs	0.999872	38.9279	19615	99.92
m21038_251006_065125/247202174/ccs	0.999089	30.4048	19529	99.76
m21038_251006_065125/30347754/ccs	0.998117	27.2515	19674	99.92
m21038_250901_041858/94112259/ccs	0.999833	37.7728	16879	99.92
